STATE,ORIG_LABEL,MAP_SYM1,MAP_SYM2,UNIT_LINK,PROV_NO,PROVINCE,UNIT_NAME,UNIT_AGE,UNITDESC,STRAT_UNIT,UNIT_COM,MAP_REF,ROCKTYPE1,ROCKTYPE2,ROCKTYPE3,UNIT_REF
WA,Ev1,EOv1,EOv1;0,WAEOv1;0,0,,Upper Eocene volcanic rocks,Late Eocene,"Andesite and basalt flows and associated breccia in central Lewis County.  Pyroclastic rocks, mudflows, flow breccia, and volcanic-rich sedimentary rocks in King and Pierce Counties.",Northcraft formation (in part),,WA001,andesite,basalt,sandstone; siltstone; conglomerate,WA001WA007WA011WA044WA050
WA,Ev1a,EOv1a,EOv1a;0,WAEOv1a;0,0,,Upper Eocene volcanic rocks,Late Eocene,"Predominantly andesite flows and breccia; includes some basalt flows.  Contains basaltic conglomerate, pyroclastic rocks, tuff beds, and sandstone in Chehalis-Centralia coal district, Lewis County.",Northcraft formation ,"The Northcraft formation is 680-1400 ft thick (Snavely and others, 1958).",WA001,andesite,basalt,conglomerate; sandstone; siltstone; mudstone; welded tuff,WA001WA007WA011WA050WA056
WA,Ev1b,EOv1b,EOv1b;0,WAEOv1b;0,0,,Upper Eocene volcanic rocks,Late Eocene to Oligocene,Predominantly basalt flows and flow breccia; includes some pyroclastic and andesite rocks.  Chiefly in western Washington.,"Cowlitz formation (in part: Goble volcanic member, Pe Ell volcanic member); Hatchet Mountain formation; Teanaway basalt","Luedke, 1998, indicates that this unit has a large volume of andesite as compared to basalt.  Walsh and others, 1987, indicate that this unit is almost entirely basaltic andesite flows of Oligocene to Eocene age with minor andesite, dacite, and basalt flows, and thin interbeds of shale, tuff, and volcanic sandstone.  Hatchet Mountain formation consists of a base of basaltic conglomerate, sandstone, and water-laid tuff, underlying 2750 feet of basaltic and andesitic lava flows, flow breccia, pyroclastic,and tuffaceous sedimentary rocks.  Increase in thickness to south and east as Cowlitz changes from marine to nonmarine (Roberts, 1958).  Roberts, 1958, also suggests that Goble volcanic series includes Hatchet Mountain and parts of the Cowlitz and Toutle Formations (see WAOlv) as opposed to being contained within the Cowlitz formation.Phillips, 1987, maps the portion of the unit south of the Lewis River as basaltic-andesite and basalt flows with interbedded tuff and basaltic sandstone and conglomerate.  North of the Lewis River are basaltic-andesite lava flows and flow breccia of the Goble Volcanics with interbedded sedimentary rocks.Small polygon in northern Ferry County tagged as WAEv1b in digital coverage is really WATas in original map.",WA001,basalt,andesite,rhyolite; dacite; conglomerate; sandstone; siltstone; tuff; shale,WA001WA007WA011WA040WA050WA059WA067
WA,Ev1r,EOv1r,EOv1r;0,WAEOv1r;0,0,,Upper Eocene volcanic rocks,Late-Middle Eocene,"Rhyolite flows and some interbedded tuff beds in Cle Elum area, Kittitas County.",Naches Formation (in part),"Two stratigraphic units in WAEv1r, ""Kachess rhyolite"" and ""Rhyolite in the Guye"", were listed in Huntting and others, 1961, with a footnote referencing a 1906 USGS geologic atlas folio by G. O. Smith and F. C. Calkins; none of the referenced literature in this database names any outcrops similarly.   Furthermore, any rhyolite within the Guye Formation is geographically more likely to occur in either WAEPKc (which includes the Guye Formation) or WAlTv (which includes the Mt. Catherine rhyolite adjacent to the Guye Formation).  The Kachess rhyolite must be associated with Kachess Lake just north of the unit.",WA001,rhyolite,basalt,andesite; sandstone; siltstone; argillite; shale; coal,WA001WA007WA075WA081
WA,Ev2,EOv2,EOv2;0,WAEOv2;0,0,,Middle and lower Eocene volcanic rocks,Eocene,"Dark-gray, course- to fine-grained, strongly chloritized basalt flows and breccia; includes pillow lava, deeply altered palagonite beds, amygdoidal and vesicular flows, and, locally, sedimentary rocks.  Comprises outer volcanic belt in Olympic Peninsula, where manganese ore is associated with some submarine lavas.",Cresent Formation; Metchosin (Vancouver Island),"Cresent Formation equivilent to Metchosin (American term versus Canadian term) (Babcock and others, 1994), and almost exclusively referred to as Cresent Formation within Washington (two known exceptions: Henriksen, 1956 ,who maps it as Metchosin in southwestern Washington and Snavely and others, 1958, who maps it, in the Centralia-Chehalis district, as a volcanic sequence of basalt lava flows and breccia of the McIntosh formation).  Cresent Formation is at least 5000 ft thick (in Pacific County, Wagner, 1967a, b).Snavely and others, 1958, maps a small chunk of this unit in the Centralia-Chehalis district as a volcanic sequence of basalt lava flows and breccia in the McIntosh formation; I think this outcrop is actually Cresent formation.",WA001,tholeiite,siltstone,sandstone,WA001WA007WA008WA010WA011WA012WA048WA049WA052WA056
WA,J,J,J;0,WAJ;0,0,,Lower and Middle Jurassic marine rocks,Devonian-Permian,"Dark-gray, massive to thick-bedded, siliceous argillite, siltstone, and shale; includes minor graywacke and limestone.  Confined to northwestern Whatcom County.","Chilliwack Group, undivided","Relative proportions of different lithologies within metasedimentary rocks and metavolcanic rocks are unknown (Lapen, 2000, Dragovich and others, 2002)--see lithology coding for lithologies included in each category.",WA001,metasedimentary rock,metavolcanic rock,,WA001WA075WA076
WA,JK,JK,JK;0,WAJK;0,0,,Upper Jurassic-Lower Cretaceous sedimentary and volcanic rocks,Late Cretaceous-Jurassic,"Sedimentary and volcanic rocks, undivided.  Graywacke, argillite, siltstone, slate, volcanic rocks, phyllite, greenschist, and greenstone.","Spieden Group; Obstruction Formation; Fidalgo Complex (in part);  Lummi Group (including James Island Formation); Lopez Structural Complex; Newby Group: Buck Mountain Formation (in part), Twisp Formation","Volcanic rocks include andesite flows, tuff, and breccia with minor dacite and basalt, and minor volcaniclastic sandstone, conglomerate, and siltstone (Barksdale, 1975, Tabor and others, 1993--NOTE: Tabor and others, 1993, does not differentiate between WAJK and WAJKv).  Huntting and others, 1961, originally listed""Leech River Group"" in the stratigraphy of this unit; obsolete term and now considered part of Lummi and Constitution Formations (Brandon and others, 1988).",WA001,andesite,sandstone,siltstone; slate; phyllite; greenschist; greenstone; conglomerate; black shale; argillite; chert,WA001WA029WA041WA043WA055WA077WA078WA083
WA,JKs,JKs,JKs;0,WAJKs;0,0,,Upper Jurassic-Lower Cretaceous sedimentary and volcanic rocks,Late Jurassic-Early Cretaceous,"Predominantly sedimentary rocks.  Graywacke, argillite, and siltstone with some slate and phyllite; includes graywacke breccia and ribbon chert with minor local limestone lenses and basalt flows.",Lummi Group (in part); Nooksack group (in part); Trafton melange,"Dragovich and others, 2002, maps this unit as metamorphosed sandstone, argillite, mudstone, and conglomerate with localized semischist, phyllite, chert, limestone, siltstone, greenstone, diabase, and gabbro.  Huntting and others, 1961, originally listed""Leech River Group"" in the stratigraphy of this unit; obsolete term and now considered part  of Lummi Group (Brandon and others, 1988).  Also includes ""semischist"" (Tabor and others, 1988, Dragovich and others, 2002).  Misch, 1966, describes the Nooksack group as phylllitic but composed of graywackes, siltstone, and minor conglomerate.",WA001,argillite,graywacke,greenstone; slate; phyllite; chert; siltstone; limestone; arkose; mudstone; conglomerate; diorite,WA001WA025WA043WA075WA078WA080WA082WA086
WA,JKv,JKv,JKv;0,WAJKv;0,0,,Upper Jurassic-Lower Cretaceous volcanic rocks,Jurassic-Cretaceous on San Juan Islands; possibly Eocene in King County,"Predominantly volcanic rocks, mostly metamorphosed to greenstone and greenschist; includes some sedimentary rocks",Eagle Cliff porphyrite; Lummi formation (in part); Lopez structural complex (in part); Fidalgo complex (in part),"Volcanic rocks in King County include andesite flows, tuff, and breccia with minor dacite and basalt, and minor volcaniclastic sandstone, conglomerate, and siltstone (Tabor and others, 1993, Dragovich and others, 2002).  Outcrops on San Juan Islands consist mostly of greenstone with metasedimentary and metavolcanic rocks as well as unmetamorphosed igneous rock (Dragovich and others, 2002).",WA001,volcanic rock (aphanitic),plutonic rock (phaneritic),metavolcanic rock; metasedimentary rock; sedimentary rock,WA001WA029WA043WA075WA077
WA,Jv,Jv,Jv;0,WAJv;0,0,,Middle Jurassic volcanic rocks,Middle Jurassic,"Andesite, dacite, and minor basalt with slate and graywacke interbeds in the Nooksack River region of Whatcom County.",Wells Creek Volcanics (Nooksack Formation),"Dragovich and others, 2002 reports that the dacite and andesite  is recrystallized and contains metamorphic pumpellyite, chlorite, epidote, albite, and rare aragonite.  Misch, 1966, reports that the andesite grades into keratophyre as well as dacite.  Neither Dragovich and others, 2002, or Misch, 1966, mention basalt.",WA001,andesite,dacite,argillite; slate; graywacke,WA001WA075WA086
WA,K,K,K;0,WAK;0,0,,"Cretaceous sedimentary rocks, mostly marine",Late Cretaceous; possibly Eocene,"Cretaceous conglomerate, sandstone, shale, breccia, limestone, and gritstone in San Juan Islands.",Nanaimo Group,"Dragovich and others, 2002,  maps the northernmost San Juan Islands (Patos, Sucia, and Matia Islands) in this unit as Eocene continental sedimentary rocks correlative with the Chuckanut Formation; Stuarts, Johns, Waldron, Flattop, Skipjack Islands, and the northern shore of Orcas Island consist of the Nanaimo Group of Cretaceous age.  Both   groups have similar lithology.Huntting and others, 1961, listed the Spieden group and Winthrop sandstone in this unit.  The Spieden Formation mapped in the WAJK unit more recently (sole occurrance is on Spieden Island just north of San Juan Island) (Brandon, 1989).  The Winthrop formation appears in northern Okanogan County (see unit WAKu), but not in this unit which is exclusive to the northern San Juan Islands.",WA001,sandstone,conglomerate,shale; coal,WA001WA029WA055WA075
WA,Kc,Kc,Kc;0,WAKc;0,0,,Cretaceous nonmarine rocks,Late Cretaceous,"Redbeds of thick-bedded sandstone, shale, and pebble conglomerate in upper Methow River area of Okanogan County.",Midnight Peak (in part: Ventura Member),"Estimated thickness (at type locality) is 2034 ft., but redbeds may be as little as 300 ft. thick (Barksdale, 1975).",WA001,sandstone,volcanic breccia (agglomerate),shale; siltstone; conglomerate,WA001WA041
WA,Kl,Kl,Kl;0,WAKl;0,0,,"Cretaceous sedimentary rocks, mostly marine",Cretaceous,Lower Cretaceous greenish-gray massive arkosic sandstone and light-gray sandy shale in western Okanogan County.  Includes phyllite in eastern Whatcom County.,Virginian Ridge Formation (in part); Harts Pass Formation; Panther Creek Formation; Goat Creek Formation; Jack Mountain Phyllite ,"Huntting and others, 1961, (source map) references a 1958 unpublished map by Barksdale when including the Virginian Ridge Formation in this unit but more recent mapping by Barksdale (1975) shows that most of the Virginian Ridge Formation is actually in Huntting's WAKu unit (Winthrop Sandstone).Goat Creek Formation is 5120 ft thick, mostly arkose (80%), black shale (20%) and incidental conglomerate; Panther Creek Formation is 5200 ft thick, mostly black shale (90%), conglomerate (6%), and arkose (4%); Harts Pass Formation is 7900 ft thick, mostly arkose (70%) and black shale (30%) (Barksdale, 1975--NOTE: uses black shale interchangeably with argillite).",WA001,arkose,black shale,conglomerate; phyllite; conglomerate,WA001WA039WA041
WA,Ku,Ku,Ku;0,WAKu;0,0,,"Cretaceous sedimentary rocks, mostly marine",Cretaceous,"Upper Cretaceous black siltstone, graywacke, and silica pebble conglomerate in western Okanogan County.",Winthrop sandstone; Virginian Ridge Formation (in part),"Huntting and others, 1961, originally places Virginian Ridge Formation in WAKl, referencing a 1958 unpublished map by Barksdale but more recent mapping by Barksdale (1975) shows that most of the Virginian Ridge Formation is actually in this unit.Virginian Ridge Formation is 1080-11,600 ft. thick and Winthrop Sandstone is 0-13,500 ft thick (Barksdale, 1975).",WA001,arkose,siltstone,shale; graywacke; conglomerate,WA001WA041
WA,lTv,lTv,lTv;0,WAlTv;0,0,,"Lower Tertiary volcanic rocks, undivided",Eocene,"Predominantly andesite flows and flow breccia; includes basalt flows, minor rhyolitic rocks, and some sedimentary rocks.","Barlow Pass volcanics; Swauk Formation (in part: Silver Pass volcanics); Naches Formation (in part, including Mt. Catherine rhyolite); ","More recent maps show that this unit is predominantly basalt and rhyolite with subordinate andesite and dacite (including Silver Pass volcanic) (Luedke, 1998, Tabor and others, 1988, 1993, Dragovich and others, 2002).  Barlow Pass volcanics mostly altered to ""dense mat"" of chlorite, epidote, calcite, and sericite (Tabor and others, 1988, 1993).  ",WA001,basalt,rhyolite,andesite; dacite; sandstone; conglomerate; shale; argillite,WA001WA011WA043WA075WA082
WA,M,MI,MI;0,WAMI;0,0,,Miocene marine rocks,Miocene,"Massive to thin-bedded, friable, basaltic to feldspathic sandstone, with shale, siltstone, and local pebble conglomerate interbeds.",Astoria Formation; Clallum Formation (Olympic Peninsula); Montesano Formation (in part); Lincoln Creek Formation (in small part),"Montesano Formation overlies Astoria Formation and not always differentiated from it in the literature.  Most of the Montesano Formation, however, maps within the WAMPL unit, and most of the Astoria in this unit (based primarily on Walsh and others, 1987).",WA001,sandstone,siltstone,shale; conglomerate,WA001WA007WA012WA046WA056WA062
WA,Mc,MIc,MIc;0,WAMIc;0,0,,Miocene nonmarine rocks,Late Miocene,"Poorly to moderately consolidated tuffaceous sandstone, conglomerate, siltstone, and claystone in western Washington.  Chiefly clay and shale with minor sand, gravel, and diatomaceous earth near Spokane.  Includes diatomite beds near Yakima and Quincy, and some marine beds in Western Washington.",Wilkes Formation; Latah Formation; Ellensburg Formation (in small part),"""The various lithologic units of the Wilkes formation interfinger and grade laterally into one another, so that no one section is typical of the whole formation."" (Roberts, 1958).  Quantity estimations below based on composite section of Wilkes Formation (Roberts, 1958), description of Latah Formation (Griggs, 1973) and description of nonmarine sedimentary rocks in Centralia-Chehalis District (Snavely and others, 1958).",WA001,sandstone,siltstone,claystone; conglomerate; shale; unconsolidated deposit; tuff,WA001WA017WA047WA050WA056
WA,MPL,MIPO,MIPO;0,WAMIPO;0,0,,Miocene-Pliocene marine rocks,Miocene-Pliocene,"Brown-gray, coarse-grained, moderately consolidated, commonly cross-bedded sandstone.  Grades locally into gritstone and conglomerate lenses; includes minor shale beds; sandstone often shaly and in some areas grades into claystone.",Montesano Formation; Astoria Formation (in part),"Montesano Formation overlies Astoria Formation and not always differentiated from it in the literature. Most of the Montesano Formation, however, maps within this unit, and most of the Astoria in the WAM unit (based primarily on Logan, 1987a,b, and Walsh and others, 1987).",WA001,sandstone,siltstone,conglomerate; mudstone,WA001WA007WA008WA087WA088
WA,MPLc,MIPOc,MIPOc;0,WAMIPOc;0,0,,Miocene-Pliocene nonmarine rocks,Miocene-Pliocene,"Tuffaceous and pumiceous andesitic sandstone and siltstone with interbedded conglomerate and claystone.  Conglomerate beds chiefly andesitic, but also quartzitic, granitic, and basaltic; includes basalt flows locally.","Ellensburg Formation: Beverly Member, Vantage Member; Thorp gravel","Ellensburg formation also described as fluvial and laharic gravel, sand, silt, and clay. Thorp gravel is coarse sand and gravel conformably and unconformably overlying the Ellensburg formation (Bentley and Campbell, 1983).   Mackin, 1961, considers the Saddle Mountain Basalt Member to be part of the Ellensburg Formation; local basalt flows are probably of this type (or of the Beverly Member) though most of the Saddle Mountain Basalt Member is part of unit WAMPLv.",WA001,conglomerate,pumice,gravel; sand; basalt; lahar,WA001WA005WA007WA014WA059WA074WA091WA094WA095
WA,MPLv,MIPOv,MIPOv;0,WAMIPOv;0,0,,Miocene-Pliocene volcanic rocks,Miocene-Pliocene,"Dark-gray, fine-grained, dense, porphyritic in part, basalt flows in central and south-central part of State; commonly interbedded with conglomerate, sandstone, and siltstone.  Includes small areas of rhyolite north of Cle Elum in Kittitas County, and andesite north of Leavenworth in Chelan County.",Columbia lavas; Howson andesite; Post-Roslyn rhyolite; Wenas flow; Saddle Mountain Basalts (in part),"Sedimentary rocks interbedded with Saddle Mountain basalt (which makes up most of this unit) are of Ellensburg Formation, which is mostly conglomerate and pumicite (see unit WAMPLc) (Mackin, 1961, Schuster and others, 1997).  The Saddle Mountain Basalt is Miocene-Pliocene in age; the basaltic to rhyolitoc rock, associated with the Teenaway Basalt in the central Cascades, is Eocene in age (Schuster and others, 1997, Tabor and others, 1982).",WA001,basalt,rhyolite,andesite; conglomerate; pumice,WA001WA005WA023WA059WA095
